proyecto1,proyecto2,examen 1,taller1,nota
 100.0, 100.0, 53.3, 80.0, 80.2
 0.0, 0.0, 12.6, 40.0, 2.5
 100.0, 45.0, 49.6, 100.0, 80.8
 100.0, 100.0, 61.6, 100.0, 82.1
 42.5, 60.0, 55.1, 100.0, 69.4
 45.3, 60.0, 38.5, 100.0, 76.6
 100.0, 60.0, 57.0, 100.0, 70.7
 80.0, 100.0, 52.4, 100.0, 79.3
 79.3, 62.0, 40.3, 80.0, 67.6
 76.7, 100.0, 48.7, 100.0, 77.6
 70.8, 60.0, 60.7, 100.0, 75.2
 54.0, 60.0, 32.9, 100.0, 72.4
 100.0, 60.0, 57.0, 60.0, 78.6
 0.0, 62.0, 52.4, 0.0, 25.9
 34.0, 60.0, 38.5, 80.0, 67.9
 50.0, 60.0, 29.2, 0.0, 50.2
 48.2, 45.0, 53.3, 40.0, 68.2
 97.0, 60.0, 66.3, 100.0, 80.2
 100.0, 60.0, 69.1, 100.0, 82.9
 70.8, 54.0, 59.8, 60.0, 76.3
 0.0, 0.0, 7.0, 60.0, 2.0
 65.0, 62.0, 44.0, 60.0, 58.0
 85.0, 62.0, 29.2, 100.0, 68.3
 70.0, 60.0, 34.8, 100.0, 73.1
 50.0, 60.0, 42.2, 100.0, 69.6
 100.0, 100.0, 74.4, 100.0, 96.00
 43.0, 60.0, 41.0, 81.7, 64.97
 50.0, 100.0, 34.0, 100.0, 79.64
 38.0, 0.0, 16.7, 10.0, 11.69
 20.0, 0.0, 9.0, 81.7, 10.80
 100.0, 100.0, 77.6, 100.0, 96.10
 67.0, 60.0, 28.9, 95.0, 70.44
 98.0, 100.0, 61.5, 100.0, 91.50
 48.0, 60.0, 19.2, 63.3, 54.59
 95.0, 100.0, 73.7, 100.0, 91.80
 48.0, 60.0, 41.0, 81.7, 69.24
 42.0, 75.0, 32.0, 100.0, 76.90
 62.0, 75.0, 23.1, 100.0, 76.11
 90.0, 75.0, 37.2, 100.0, 79.03
 80.0, 75.0, 41.7, 100.0, 77.23
 0.0, 0.0, 9.6, 45.0, 5.92
 82.0, 75.0, 30.8, 90.0, 75.11
 100.0, 100.0, 86.5, 100.0, 97.61
 86.7, 75.0, 26.9, 76.7, 80.09
 85.0, 70.0, 39.9, 26.7, 77.12
 34.0, 45.0, 43.8, 100.0, 58.13
 40.0, 45.0, 37.3, 100.0, 43.75
 53.3, 95.0, 68.6, 60.0, 83.63
 52.0, 65.0, 28.8, 100.0, 74.67
 85.0, 70.0, 34.7, 60.0, 81.16
 40.0, 95.0, 33.3, 26.7, 73.35
 85.0, 97.0, 24.2, 33.3, 81.03
 34.0, 70.0, 22.2, 100.0, 73.10
 0.0, 0.0, 0.0, 60.0, 1.25
 62.0, 63.3, 69.3, 60.0, 78.57
 85.0, 70.0, 22.3, 80.0, 78.19
 82.0, 97.0, 56.2, 100.0, 92.61
 72.0, 70.0, 22.9, 60.0, 72.41
 100.0, 97.0, 74.5, 53.3, 93.99
 40.0, 95.0, 43.8, 40.0, 79.10
 18.0, 45.0, 43.8, 60.0, 47.13
 23.0, 0.0, 0.0, 40.0, 4.09
 85.0, 70.0, 29.4, 80.0, 76.16
 90.0, 70.0, 34.0, 60.0, 81.95
 40.0, 65.0, 32.7, 46.7, 73.36
 83.0, 70.0, 47.1, 73.3, 79.32
 82.0, 63.3, 27.5, 0.0, 73.19
 0.0, 0.0, 0.0, 60.0, 0.90
 70.0, 95.0, 35.3, 0.0, 70.08
 94.0, 97.0, 66.7, 60.0, 91.02
 100.0, 63.3, 52.3, 100.0, 73.41
 100.0, 100.0, 86.5,80.2, 94.97
 98.0, 100.0, 53.3,80.2, 87.85
 85.0, 70.0, 55.5,80.2, 84.43
 47.5, 71.7, 27.3,35.3, 67.94
 14.0, 0.0, 5.0,76.2, 10.86
 27.1, 55.0, 56.1,80.2, 66.38
 23.0, 55.0, 34.8,36.1, 59.96
 85.0, 70.0, 41.6,80.2, 74.19
 0.0, 0.0, 5.0,0, 0.75
 32.5, 55.0, 36.4,72.2, 61.86
 0.0, 100.0, 27.3,0, 38.39
 52.1, 48.0, 24.6,61.5, 39.24
 100.0, 88.3, 58.2,50.8, 87.62
 100.0, 88.3, 78.2,80.2, 87.61
 57.0, 0.0, 5.0,50.8, 10.44
 100.0, 100.0, 72.0,50.8, 88.70
 100.0, 0.0, 32.1,50.8, 22.01
 52.1, 48.0, 48.6,71.4, 36.27
 36.0, 71.7, 17.8,0, 59.59
 23.1, 48.0, 47.5,80.2, 44.57
 0.0, 48.0, 42.2,76.2, 23.79
 85.0, 70.0, 56.7,80.2, 85.18
 100.0, 100.0, 72.0,65.8, 88.17
 100.0, 71.7, 78.0,78.6, 88.04
 76.0, 71.7, 56.9,65.5, 68.76
 100.0, 88.3, 48.8,80.2, 87.66
 61.0, 70.0, 59.3,80.2, 84.18
 100.0, 88.3, 66.3,76.2, 87.47
 100.0, 100.0, 54.4,72.2, 86.24
 100.0, 100.0, 72.0,80.2, 87.31
 83.8, 100.0, 31.6,0, 69.37
