Ruta,Label
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (462).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (253).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (574).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (43).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (485).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (242).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (96).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (165).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (295).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (207).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (169).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (481).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (187).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (59).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (151).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (77).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (529).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (166).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (341).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (134).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (182).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (284).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (235).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (425).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (571).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (173).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (109).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (530).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (330).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (296).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (152).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (516).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (292).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (444).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (171).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (552).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (604).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (623).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (216).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (532).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (394).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (359).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (307).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (293).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (254).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (213).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (472).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (514).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (72).JPG,Apple_scab
Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab\image (84).JPG,Apple_scab
