[7.5174061e-11 1.2093131e-13 2.1911371e-13 4.0405399e-09 3.7953696e-15
 9.5393346e-12 3.6134931e-08 9.9973255e-01 1.6335410e-09 5.7846076e-12
 2.5794815e-04 3.1222167e-12 4.3077816e-13 5.4104146e-07 9.7480973e-12
 2.7985918e-09 1.8183287e-10 1.2127360e-06 1.6272279e-13 2.0995494e-09
 1.4333150e-07 2.7132513e-11 1.1451859e-06 4.2255756e-12 3.8090218e-13
 3.1562056e-06 4.6671337e-13 2.7523088e-06 1.9960085e-09 4.0830250e-09
 4.8974209e-07 1.0265018e-08 1.9224561e-12 2.3222521e-13 2.1158156e-12
 2.2489035e-09 2.2289361e-08 2.1050579e-10]
[6.4063736e-04 1.2433000e-12 6.0735461e-13 2.3950514e-07 2.5582145e-12
 8.8186758e-12 2.0263316e-03 7.7265622e-06 2.8744356e-08 1.8781755e-14
 1.7152462e-07 1.1906838e-08 1.0779124e-06 7.7382702e-01 2.3833798e-02
 6.9525704e-04 1.9583471e-17 9.2917520e-07 2.1361109e-12 2.2603185e-03
 1.9584285e-01 5.6193467e-11 7.0294950e-06 1.2259708e-08 6.5141864e-13
 2.8314011e-07 1.3768557e-07 2.3504703e-05 7.2354235e-04 1.5039552e-05
 9.5400467e-12 1.1725460e-06 2.5574769e-09 4.1206764e-15 1.8144274e-07
 1.7599353e-11 5.0874350e-11 9.2800095e-05]
[1.77283146e-04 1.30818662e-04 5.26670851e-02 5.44451723e-06
 6.42821396e-05 9.22120035e-01 7.10072854e-05 1.58898605e-04
 1.02260583e-05 5.29585889e-11 7.69278358e-06 1.45245895e-08
 3.44528307e-05 8.74424586e-07 5.15670990e-07 2.39807693e-03
 1.73743757e-08 8.21004287e-05 1.39210192e-06 1.01421880e-04
 1.79074107e-06 2.97731094e-05 1.10163204e-02 8.49623802e-07
 4.18857070e-07 3.22218128e-08 8.01155056e-06 7.66942697e-03
 6.42317114e-04 1.44459946e-07 3.22397042e-08 1.86253118e-03
 5.39111852e-06 6.01903303e-04 6.47452980e-05 3.28802162e-06
 5.25241776e-05 8.81220240e-06]
[2.18061700e-06 3.75649520e-08 9.82713688e-10 4.64189053e-01
 4.19509927e-10 6.88233470e-10 1.60751442e-05 1.38068607e-03
 7.13835152e-06 1.97046759e-07 5.61481854e-03 6.21249683e-08
 1.03467785e-08 1.73383392e-04 3.57583940e-09 1.23487401e-10
 3.46031413e-07 4.93749985e-06 3.44833744e-08 8.49509797e-06
 5.73857369e-06 9.75730274e-10 1.89353227e-06 7.80534748e-09
 5.29998339e-08 5.24108350e-01 8.30215507e-10 6.95207234e-07
 1.09848697e-05 2.88607389e-05 4.43321653e-03 2.59173339e-06
 1.58003536e-06 2.16639755e-08 2.66758502e-06 1.77223069e-06
 4.03267632e-06 1.55418149e-07]
[3.52049256e-06 1.18802852e-08 1.76411455e-11 1.05872473e-07
 8.39709812e-12 2.32566091e-08 1.27616249e-05 6.29057502e-03
 1.14683715e-07 2.27553164e-06 6.45607173e-01 2.88264031e-12
 1.36043199e-09 5.36764873e-08 5.83944948e-10 4.01124680e-07
 5.36566276e-08 1.20026461e-05 4.13947099e-10 1.41774592e-08
 5.80958294e-06 1.58010979e-10 9.51378206e-06 7.77422071e-10
